realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,3311
2018-12-11,2018-12-11,1992-02-01,3360
2018-12-11,2018-12-11,1992-03-01,3445
2018-12-11,2018-12-11,1992-04-01,3415
2018-12-11,2018-12-11,1992-05-01,3510
2018-12-11,2018-12-11,1992-06-01,3521
2018-12-11,2018-12-11,1992-07-01,3470
2018-12-11,2018-12-11,1992-08-01,3461
2018-12-11,2018-12-11,1992-09-01,3521
2018-12-11,2018-12-11,1992-10-01,3576
2018-12-11,2018-12-11,1992-11-01,3592
2018-12-11,2018-12-11,1992-12-01,3579
2018-12-11,2018-12-11,1993-01-01,3600
2018-12-11,2018-12-11,1993-02-01,3636
2018-12-11,2018-12-11,1993-03-01,3525
2018-12-11,2018-12-11,1993-04-01,3672
2018-12-11,2018-12-11,1993-05-01,3739
2018-12-11,2018-12-11,1993-06-01,3721
2018-12-11,2018-12-11,1993-07-01,3811
2018-12-11,2018-12-11,1993-08-01,3815
2018-12-11,2018-12-11,1993-09-01,3861
2018-12-11,2018-12-11,1993-10-01,3837
2018-12-11,2018-12-11,1993-11-01,3810
2018-12-11,2018-12-11,1993-12-01,3761
2018-12-11,2018-12-11,1994-01-01,3984
2018-12-11,2018-12-11,1994-02-01,4037
2018-12-11,2018-12-11,1994-03-01,4040
2018-12-11,2018-12-11,1994-04-01,4100
2018-12-11,2018-12-11,1994-05-01,4017
2018-12-11,2018-12-11,1994-06-01,4066
2018-12-11,2018-12-11,1994-07-01,4138
2018-12-11,2018-12-11,1994-08-01,4179
2018-12-11,2018-12-11,1994-09-01,4127
2018-12-11,2018-12-11,1994-10-01,4185
2018-12-11,2018-12-11,1994-11-01,4189
2018-12-11,2018-12-11,1994-12-01,4223
2018-12-11,2018-12-11,1995-01-01,4233
2018-12-11,2018-12-11,1995-02-01,4153
2018-12-11,2018-12-11,1995-03-01,4199
2018-12-11,2018-12-11,1995-04-01,4274
2018-12-11,2018-12-11,1995-05-01,4276
2018-12-11,2018-12-11,1995-06-01,4340
2018-12-11,2018-12-11,1995-07-01,4312
2018-12-11,2018-12-11,1995-08-01,4397
2018-12-11,2018-12-11,1995-09-01,4405
2018-12-11,2018-12-11,1995-10-01,4404
2018-12-11,2018-12-11,1995-11-01,4520
2018-12-11,2018-12-11,1995-12-01,4476
2018-12-11,2018-12-11,1996-01-01,4484
2018-12-11,2018-12-11,1996-02-01,4557
2018-12-11,2018-12-11,1996-03-01,4539
2018-12-11,2018-12-11,1996-04-01,4569
2018-12-11,2018-12-11,1996-05-01,4596
2018-12-11,2018-12-11,1996-06-01,4626
2018-12-11,2018-12-11,1996-07-01,4645
2018-12-11,2018-12-11,1996-08-01,4573
2018-12-11,2018-12-11,1996-09-01,4617
2018-12-11,2018-12-11,1996-10-01,4732
2018-12-11,2018-12-11,1996-11-01,4704
2018-12-11,2018-12-11,1996-12-01,4766
