realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,1509
2018-12-11,2018-12-11,1992-02-01,1541
2018-12-11,2018-12-11,1992-03-01,1597
2018-12-11,2018-12-11,1992-04-01,1675
2018-12-11,2018-12-11,1992-05-01,1822
2018-12-11,2018-12-11,1992-06-01,1775
2018-12-11,2018-12-11,1992-07-01,1912
2018-12-11,2018-12-11,1992-08-01,1862
2018-12-11,2018-12-11,1992-09-01,1770
2018-12-11,2018-12-11,1992-10-01,1882
2018-12-11,2018-12-11,1992-11-01,1831
2018-12-11,2018-12-11,1992-12-01,2511
2018-12-11,2018-12-11,1993-01-01,1614
2018-12-11,2018-12-11,1993-02-01,1529
2018-12-11,2018-12-11,1993-03-01,1678
2018-12-11,2018-12-11,1993-04-01,1713
2018-12-11,2018-12-11,1993-05-01,1796
2018-12-11,2018-12-11,1993-06-01,1792
2018-12-11,2018-12-11,1993-07-01,1950
2018-12-11,2018-12-11,1993-08-01,1777
2018-12-11,2018-12-11,1993-09-01,1707
2018-12-11,2018-12-11,1993-10-01,1757
2018-12-11,2018-12-11,1993-11-01,1782
2018-12-11,2018-12-11,1993-12-01,2443
2018-12-11,2018-12-11,1994-01-01,1548
2018-12-11,2018-12-11,1994-02-01,1505
2018-12-11,2018-12-11,1994-03-01,1714
2018-12-11,2018-12-11,1994-04-01,1757
2018-12-11,2018-12-11,1994-05-01,1830
2018-12-11,2018-12-11,1994-06-01,1857
2018-12-11,2018-12-11,1994-07-01,1981
2018-12-11,2018-12-11,1994-08-01,1858
2018-12-11,2018-12-11,1994-09-01,1823
2018-12-11,2018-12-11,1994-10-01,1806
2018-12-11,2018-12-11,1994-11-01,1845
2018-12-11,2018-12-11,1994-12-01,2577
2018-12-11,2018-12-11,1995-01-01,1555
2018-12-11,2018-12-11,1995-02-01,1501
2018-12-11,2018-12-11,1995-03-01,1725
2018-12-11,2018-12-11,1995-04-01,1699
2018-12-11,2018-12-11,1995-05-01,1807
2018-12-11,2018-12-11,1995-06-01,1863
2018-12-11,2018-12-11,1995-07-01,1886
2018-12-11,2018-12-11,1995-08-01,1861
2018-12-11,2018-12-11,1995-09-01,1845
2018-12-11,2018-12-11,1995-10-01,1788
2018-12-11,2018-12-11,1995-11-01,1879
2018-12-11,2018-12-11,1995-12-01,2598
2018-12-11,2018-12-11,1996-01-01,1679
2018-12-11,2018-12-11,1996-02-01,1652
2018-12-11,2018-12-11,1996-03-01,1837
2018-12-11,2018-12-11,1996-04-01,1798
2018-12-11,2018-12-11,1996-05-01,1957
2018-12-11,2018-12-11,1996-06-01,1958
2018-12-11,2018-12-11,1996-07-01,2034
2018-12-11,2018-12-11,1996-08-01,2062
2018-12-11,2018-12-11,1996-09-01,1781
2018-12-11,2018-12-11,1996-10-01,1860
2018-12-11,2018-12-11,1996-11-01,1992
2018-12-11,2018-12-11,1996-12-01,2547
2018-12-11,2018-12-11,1997-01-01,1706
2018-12-11,2018-12-11,1997-02-01,1621
2018-12-11,2018-12-11,1997-03-01,1853
2018-12-11,2018-12-11,1997-04-01,1817
2018-12-11,2018-12-11,1997-05-01,2060
2018-12-11,2018-12-11,1997-06-01,2002
2018-12-11,2018-12-11,1997-07-01,2098
2018-12-11,2018-12-11,1997-08-01,2079
2018-12-11,2018-12-11,1997-09-01,1892
2018-12-11,2018-12-11,1997-10-01,2050
2018-12-11,2018-12-11,1997-11-01,2082
2018-12-11,2018-12-11,1997-12-01,2821
2018-12-11,2018-12-11,1998-01-01,1846
2018-12-11,2018-12-11,1998-02-01,1768
2018-12-11,2018-12-11,1998-03-01,1894
2018-12-11,2018-12-11,1998-04-01,1963
2018-12-11,2018-12-11,1998-05-01,2140
2018-12-11,2018-12-11,1998-06-01,2059
2018-12-11,2018-12-11,1998-07-01,2209
2018-12-11,2018-12-11,1998-08-01,2118
2018-12-11,2018-12-11,1998-09-01,2031
2018-12-11,2018-12-11,1998-10-01,2163
2018-12-11,2018-12-11,1998-11-01,2154
2018-12-11,2018-12-11,1998-12-01,3037
2018-12-11,2018-12-11,1999-01-01,1866
2018-12-11,2018-12-11,1999-02-01,1808
2018-12-11,2018-12-11,1999-03-01,1986
2018-12-11,2018-12-11,1999-04-01,2099
2018-12-11,2018-12-11,1999-05-01,2210
2018-12-11,2018-12-11,1999-06-01,2145
2018-12-11,2018-12-11,1999-07-01,2339
2018-12-11,2018-12-11,1999-08-01,2140
2018-12-11,2018-12-11,1999-09-01,2126
2018-12-11,2018-12-11,1999-10-01,2219
2018-12-11,2018-12-11,1999-11-01,2273
2018-12-11,2018-12-11,1999-12-01,3265
2018-12-11,2018-12-11,2000-01-01,1920
2018-12-11,2018-12-11,2000-02-01,1976
2018-12-11,2018-12-11,2000-03-01,2190
2018-12-11,2018-12-11,2000-04-01,2132
2018-12-11,2018-12-11,2000-05-01,2357
2018-12-11,2018-12-11,2000-06-01,2413
2018-12-11,2018-12-11,2000-07-01,2463
2018-12-11,2018-12-11,2000-08-01,2422
2018-12-11,2018-12-11,2000-09-01,2358
2018-12-11,2018-12-11,2000-10-01,2352
2018-12-11,2018-12-11,2000-11-01,2549
2018-12-11,2018-12-11,2000-12-01,3375
