realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,2668
2018-12-11,2018-12-11,1992-02-01,2632
2018-12-11,2018-12-11,1992-03-01,2477
2018-12-11,2018-12-11,1992-04-01,2757
2018-12-11,2018-12-11,1992-05-01,2874
2018-12-11,2018-12-11,1992-06-01,3065
2018-12-11,2018-12-11,1992-07-01,3238
2018-12-11,2018-12-11,1992-08-01,3137
2018-12-11,2018-12-11,1992-09-01,3064
2018-12-11,2018-12-11,1992-10-01,3062
2018-12-11,2018-12-11,1992-11-01,3029
2018-12-11,2018-12-11,1992-12-01,3032
2018-12-11,2018-12-11,1993-01-01,3184
2018-12-11,2018-12-11,1993-02-01,3230
2018-12-11,2018-12-11,1993-03-01,3231
2018-12-11,2018-12-11,1993-04-01,3216
2018-12-11,2018-12-11,1993-05-01,3230
2018-12-11,2018-12-11,1993-06-01,3164
2018-12-11,2018-12-11,1993-07-01,3236
2018-12-11,2018-12-11,1993-08-01,3275
2018-12-11,2018-12-11,1993-09-01,3438
2018-12-11,2018-12-11,1993-10-01,3563
2018-12-11,2018-12-11,1993-11-01,3703
2018-12-11,2018-12-11,1993-12-01,3705
2018-12-11,2018-12-11,1994-01-01,3734
2018-12-11,2018-12-11,1994-02-01,3739
2018-12-11,2018-12-11,1994-03-01,3825
2018-12-11,2018-12-11,1994-04-01,4026
2018-12-11,2018-12-11,1994-05-01,3857
2018-12-11,2018-12-11,1994-06-01,3901
2018-12-11,2018-12-11,1994-07-01,3886
2018-12-11,2018-12-11,1994-08-01,3970
2018-12-11,2018-12-11,1994-09-01,3934
2018-12-11,2018-12-11,1994-10-01,4012
2018-12-11,2018-12-11,1994-11-01,3986
2018-12-11,2018-12-11,1994-12-01,4088
2018-12-11,2018-12-11,1995-01-01,4090
2018-12-11,2018-12-11,1995-02-01,4016
2018-12-11,2018-12-11,1995-03-01,4068
2018-12-11,2018-12-11,1995-04-01,4171
2018-12-11,2018-12-11,1995-05-01,4277
2018-12-11,2018-12-11,1995-06-01,4269
2018-12-11,2018-12-11,1995-07-01,4405
2018-12-11,2018-12-11,1995-08-01,4469
2018-12-11,2018-12-11,1995-09-01,4591
2018-12-11,2018-12-11,1995-10-01,4569
2018-12-11,2018-12-11,1995-11-01,4735
2018-12-11,2018-12-11,1995-12-01,4808
2018-12-11,2018-12-11,1996-01-01,4724
2018-12-11,2018-12-11,1996-02-01,4857
2018-12-11,2018-12-11,1996-03-01,4853
2018-12-11,2018-12-11,1996-04-01,4899
2018-12-11,2018-12-11,1996-05-01,4928
2018-12-11,2018-12-11,1996-06-01,5036
2018-12-11,2018-12-11,1996-07-01,5082
2018-12-11,2018-12-11,1996-08-01,5101
2018-12-11,2018-12-11,1996-09-01,5132
2018-12-11,2018-12-11,1996-10-01,5221
2018-12-11,2018-12-11,1996-11-01,5393
2018-12-11,2018-12-11,1996-12-01,5462
2018-12-11,2018-12-11,1997-01-01,5307
2018-12-11,2018-12-11,1997-02-01,5442
2018-12-11,2018-12-11,1997-03-01,5755
2018-12-11,2018-12-11,1997-04-01,5911
2018-12-11,2018-12-11,1997-05-01,5771
2018-12-11,2018-12-11,1997-06-01,5854
2018-12-11,2018-12-11,1997-07-01,5840
2018-12-11,2018-12-11,1997-08-01,5863
2018-12-11,2018-12-11,1997-09-01,6160
2018-12-11,2018-12-11,1997-10-01,6074
2018-12-11,2018-12-11,1997-11-01,6023
2018-12-11,2018-12-11,1997-12-01,6081
2018-12-11,2018-12-11,1998-01-01,6217
2018-12-11,2018-12-11,1998-02-01,6388
2018-12-11,2018-12-11,1998-03-01,6463
2018-12-11,2018-12-11,1998-04-01,6562
2018-12-11,2018-12-11,1998-05-01,6752
2018-12-11,2018-12-11,1998-06-01,6386
2018-12-11,2018-12-11,1998-07-01,6817
2018-12-11,2018-12-11,1998-08-01,6812
2018-12-11,2018-12-11,1998-09-01,6841
2018-12-11,2018-12-11,1998-10-01,6987
2018-12-11,2018-12-11,1998-11-01,7019
2018-12-11,2018-12-11,1998-12-01,6991
2018-12-11,2018-12-11,1999-01-01,7102
2018-12-11,2018-12-11,1999-02-01,7388
2018-12-11,2018-12-11,1999-03-01,7345
2018-12-11,2018-12-11,1999-04-01,7535
