realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,3846
2018-12-11,2018-12-11,1992-02-01,3908
2018-12-11,2018-12-11,1992-03-01,4157
2018-12-11,2018-12-11,1992-04-01,4141
2018-12-11,2018-12-11,1992-05-01,4275
2018-12-11,2018-12-11,1992-06-01,4357
2018-12-11,2018-12-11,1992-07-01,4407
2018-12-11,2018-12-11,1992-08-01,4446
2018-12-11,2018-12-11,1992-09-01,4328
2018-12-11,2018-12-11,1992-10-01,4497
2018-12-11,2018-12-11,1992-11-01,4687
2018-12-11,2018-12-11,1992-12-01,5287
2018-12-11,2018-12-11,1993-01-01,4104
2018-12-11,2018-12-11,1993-02-01,3908
2018-12-11,2018-12-11,1993-03-01,4369
2018-12-11,2018-12-11,1993-04-01,4372
2018-12-11,2018-12-11,1993-05-01,4535
2018-12-11,2018-12-11,1993-06-01,4568
2018-12-11,2018-12-11,1993-07-01,4682
2018-12-11,2018-12-11,1993-08-01,4733
2018-12-11,2018-12-11,1993-09-01,4621
2018-12-11,2018-12-11,1993-10-01,4775
2018-12-11,2018-12-11,1993-11-01,5158
2018-12-11,2018-12-11,1993-12-01,5631
2018-12-11,2018-12-11,1994-01-01,4018
2018-12-11,2018-12-11,1994-02-01,4140
2018-12-11,2018-12-11,1994-03-01,4827
2018-12-11,2018-12-11,1994-04-01,4700
2018-12-11,2018-12-11,1994-05-01,4867
2018-12-11,2018-12-11,1994-06-01,4958
2018-12-11,2018-12-11,1994-07-01,4980
2018-12-11,2018-12-11,1994-08-01,5356
2018-12-11,2018-12-11,1994-09-01,5203
2018-12-11,2018-12-11,1994-10-01,5328
2018-12-11,2018-12-11,1994-11-01,5734
2018-12-11,2018-12-11,1994-12-01,6305
2018-12-11,2018-12-11,1995-01-01,4649
2018-12-11,2018-12-11,1995-02-01,4410
2018-12-11,2018-12-11,1995-03-01,5084
2018-12-11,2018-12-11,1995-04-01,4818
2018-12-11,2018-12-11,1995-05-01,5195
2018-12-11,2018-12-11,1995-06-01,5196
2018-12-11,2018-12-11,1995-07-01,5190
2018-12-11,2018-12-11,1995-08-01,5506
2018-12-11,2018-12-11,1995-09-01,5418
2018-12-11,2018-12-11,1995-10-01,5505
2018-12-11,2018-12-11,1995-11-01,6090
2018-12-11,2018-12-11,1995-12-01,6409
2018-12-11,2018-12-11,1996-01-01,4788
2018-12-11,2018-12-11,1996-02-01,4833
2018-12-11,2018-12-11,1996-03-01,5410
2018-12-11,2018-12-11,1996-04-01,5310
2018-12-11,2018-12-11,1996-05-01,5603
2018-12-11,2018-12-11,1996-06-01,5479
2018-12-11,2018-12-11,1996-07-01,5673
2018-12-11,2018-12-11,1996-08-01,5893
2018-12-11,2018-12-11,1996-09-01,5589
2018-12-11,2018-12-11,1996-10-01,5970
