realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,620
2018-12-11,2018-12-11,1992-02-01,585
2018-12-11,2018-12-11,1992-03-01,643
2018-12-11,2018-12-11,1992-04-01,706
2018-12-11,2018-12-11,1992-05-01,660
2018-12-11,2018-12-11,1992-06-01,721
2018-12-11,2018-12-11,1992-07-01,678
2018-12-11,2018-12-11,1992-08-01,653
2018-12-11,2018-12-11,1992-09-01,638
2018-12-11,2018-12-11,1992-10-01,789
2018-12-11,2018-12-11,1992-11-01,1332
2018-12-11,2018-12-11,1992-12-01,3226
2018-12-11,2018-12-11,1993-01-01,598
2018-12-11,2018-12-11,1993-02-01,576
2018-12-11,2018-12-11,1993-03-01,683
2018-12-11,2018-12-11,1993-04-01,735
2018-12-11,2018-12-11,1993-05-01,685
2018-12-11,2018-12-11,1993-06-01,722
2018-12-11,2018-12-11,1993-07-01,745
2018-12-11,2018-12-11,1993-08-01,682
2018-12-11,2018-12-11,1993-09-01,671
2018-12-11,2018-12-11,1993-10-01,799
2018-12-11,2018-12-11,1993-11-01,1480
2018-12-11,2018-12-11,1993-12-01,3275
2018-12-11,2018-12-11,1994-01-01,618
2018-12-11,2018-12-11,1994-02-01,637
2018-12-11,2018-12-11,1994-03-01,819
2018-12-11,2018-12-11,1994-04-01,782
2018-12-11,2018-12-11,1994-05-01,742
2018-12-11,2018-12-11,1994-06-01,758
2018-12-11,2018-12-11,1994-07-01,778
2018-12-11,2018-12-11,1994-08-01,801
2018-12-11,2018-12-11,1994-09-01,806
2018-12-11,2018-12-11,1994-10-01,987
2018-12-11,2018-12-11,1994-11-01,1677
2018-12-11,2018-12-11,1994-12-01,3445
2018-12-11,2018-12-11,1995-01-01,683
2018-12-11,2018-12-11,1995-02-01,665
2018-12-11,2018-12-11,1995-03-01,823
2018-12-11,2018-12-11,1995-04-01,867
2018-12-11,2018-12-11,1995-05-01,821
2018-12-11,2018-12-11,1995-06-01,873
2018-12-11,2018-12-11,1995-07-01,851
2018-12-11,2018-12-11,1995-08-01,846
2018-12-11,2018-12-11,1995-09-01,846
2018-12-11,2018-12-11,1995-10-01,993
2018-12-11,2018-12-11,1995-11-01,1830
2018-12-11,2018-12-11,1995-12-01,3616
2018-12-11,2018-12-11,1996-01-01,705
2018-12-11,2018-12-11,1996-02-01,737
2018-12-11,2018-12-11,1996-03-01,890
2018-12-11,2018-12-11,1996-04-01,862
2018-12-11,2018-12-11,1996-05-01,669
2018-12-11,2018-12-11,1996-06-01,849
2018-12-11,2018-12-11,1996-07-01,877
2018-12-11,2018-12-11,1996-08-01,874
2018-12-11,2018-12-11,1996-09-01,870
2018-12-11,2018-12-11,1996-10-01,1094
2018-12-11,2018-12-11,1996-11-01,2002
2018-12-11,2018-12-11,1996-12-01,4073
2018-12-11,2018-12-11,1997-01-01,730
2018-12-11,2018-12-11,1997-02-01,791
2018-12-11,2018-12-11,1997-03-01,1032
2018-12-11,2018-12-11,1997-04-01,896
2018-12-11,2018-12-11,1997-05-01,947
2018-12-11,2018-12-11,1997-06-01,940
2018-12-11,2018-12-11,1997-07-01,963
2018-12-11,2018-12-11,1997-08-01,958
2018-12-11,2018-12-11,1997-09-01,971
2018-12-11,2018-12-11,1997-10-01,1141
2018-12-11,2018-12-11,1997-11-01,2009
2018-12-11,2018-12-11,1997-12-01,3643
2018-12-11,2018-12-11,1998-01-01,858
2018-12-11,2018-12-11,1998-02-01,883
2018-12-11,2018-12-11,1998-03-01,987
2018-12-11,2018-12-11,1998-04-01,1022
2018-12-11,2018-12-11,1998-05-01,986
2018-12-11,2018-12-11,1998-06-01,1016
2018-12-11,2018-12-11,1998-07-01,1042
2018-12-11,2018-12-11,1998-08-01,1025
2018-12-11,2018-12-11,1998-09-01,1005
2018-12-11,2018-12-11,1998-10-01,1197
2018-12-11,2018-12-11,1998-11-01,2011
2018-12-11,2018-12-11,1998-12-01,3801
2018-12-11,2018-12-11,1999-01-01,933
2018-12-11,2018-12-11,1999-02-01,966
2018-12-11,2018-12-11,1999-03-01,1135
2018-12-11,2018-12-11,1999-04-01,1076
2018-12-11,2018-12-11,1999-05-01,1061
2018-12-11,2018-12-11,1999-06-01,1101
2018-12-11,2018-12-11,1999-07-01,1083
2018-12-11,2018-12-11,1999-08-01,1101
2018-12-11,2018-12-11,1999-09-01,1111
2018-12-11,2018-12-11,1999-10-01,1277
2018-12-11,2018-12-11,1999-11-01,2096
2018-12-11,2018-12-11,1999-12-01,3711
2018-12-11,2018-12-11,2000-01-01,893
2018-12-11,2018-12-11,2000-02-01,1002
2018-12-11,2018-12-11,2000-03-01,1106
2018-12-11,2018-12-11,2000-04-01,1136
2018-12-11,2018-12-11,2000-05-01,1072
2018-12-11,2018-12-11,2000-06-01,1098
2018-12-11,2018-12-11,2000-07-01,1124
2018-12-11,2018-12-11,2000-08-01,1132
2018-12-11,2018-12-11,2000-09-01,1175
2018-12-11,2018-12-11,2000-10-01,1285
2018-12-11,2018-12-11,2000-11-01,2161
2018-12-11,2018-12-11,2000-12-01,3763
2018-12-11,2018-12-11,2001-01-01,880
2018-12-11,2018-12-11,2001-02-01,971
2018-12-11,2018-12-11,2001-03-01,1176
2018-12-11,2018-12-11,2001-04-01,1063
2018-12-11,2018-12-11,2001-05-01,1038
2018-12-11,2018-12-11,2001-06-01,1107
2018-12-11,2018-12-11,2001-07-01,1094
2018-12-11,2018-12-11,2001-08-01,1065
2018-12-11,2018-12-11,2001-09-01,1050
2018-12-11,2018-12-11,2001-10-01,1303
2018-12-11,2018-12-11,2001-11-01,2445
2018-12-11,2018-12-11,2001-12-01,3628
2018-12-11,2018-12-11,2002-01-01,896
2018-12-11,2018-12-11,2002-02-01,966
2018-12-11,2018-12-11,2002-03-01,1186
2018-12-11,2018-12-11,2002-04-01,1014
2018-12-11,2018-12-11,2002-05-01,1078
2018-12-11,2018-12-11,2002-06-01,1065
2018-12-11,2018-12-11,2002-07-01,1103
2018-12-11,2018-12-11,2002-08-01,1087
2018-12-11,2018-12-11,2002-09-01,1048
2018-12-11,2018-12-11,2002-10-01,1347
2018-12-11,2018-12-11,2002-11-01,2468
2018-12-11,2018-12-11,2002-12-01,3651
2018-12-11,2018-12-11,2003-01-01,910
2018-12-11,2018-12-11,2003-02-01,940
2018-12-11,2018-12-11,2003-03-01,1111
2018-12-11,2018-12-11,2003-04-01,1139
2018-12-11,2018-12-11,2003-05-01,1088
2018-12-11,2018-12-11,2003-06-01,1064
2018-12-11,2018-12-11,2003-07-01,1094
2018-12-11,2018-12-11,2003-08-01,1087
2018-12-11,2018-12-11,2003-09-01,1095
2018-12-11,2018-12-11,2003-10-01,1286
2018-12-11,2018-12-11,2003-11-01,2223
2018-12-11,2018-12-11,2003-12-01,3545
2018-12-11,2018-12-11,2004-01-01,962
2018-12-11,2018-12-11,2004-02-01,1045
2018-12-11,2018-12-11,2004-03-01,1125
2018-12-11,2018-12-11,2004-04-01,1082
2018-12-11,2018-12-11,2004-05-01,974
2018-12-11,2018-12-11,2004-06-01,1024
2018-12-11,2018-12-11,2004-07-01,1086
2018-12-11,2018-12-11,2004-08-01,1016
2018-12-11,2018-12-11,2004-09-01,1051
2018-12-11,2018-12-11,2004-10-01,1311
2018-12-11,2018-12-11,2004-11-01,2187
2018-12-11,2018-12-11,2004-12-01,3451
2018-12-11,2018-12-11,2005-01-01,950
2018-12-11,2018-12-11,2005-02-01,980
2018-12-11,2018-12-11,2005-03-01,1173
2018-12-11,2018-12-11,2005-04-01,1098
2018-12-11,2018-12-11,2005-05-01,1061
2018-12-11,2018-12-11,2005-06-01,1049
2018-12-11,2018-12-11,2005-07-01,1077
2018-12-11,2018-12-11,2005-08-01,1028
2018-12-11,2018-12-11,2005-09-01,1019
2018-12-11,2018-12-11,2005-10-01,1229
2018-12-11,2018-12-11,2005-11-01,2120
2018-12-11,2018-12-11,2005-12-01,3471
2018-12-11,2018-12-11,2006-01-01,1063
2018-12-11,2018-12-11,2006-02-01,1022
2018-12-11,2018-12-11,2006-03-01,1117
2018-12-11,2018-12-11,2006-04-01,1094
2018-12-11,2018-12-11,2006-05-01,1040
2018-12-11,2018-12-11,2006-06-01,1048
2018-12-11,2018-12-11,2006-07-01,1070
2018-12-11,2018-12-11,2006-08-01,1043
2018-12-11,2018-12-11,2006-09-01,1086
2018-12-11,2018-12-11,2006-10-01,1205
2018-12-11,2018-12-11,2006-11-01,1933
2018-12-11,2018-12-11,2006-12-01,3299
2018-12-11,2018-12-11,2007-01-01,948
2018-12-11,2018-12-11,2007-02-01,974
2018-12-11,2018-12-11,2007-03-01,1188
2018-12-11,2018-12-11,2007-04-01,1064
2018-12-11,2018-12-11,2007-05-01,1050
2018-12-11,2018-12-11,2007-06-01,1096
2018-12-11,2018-12-11,2007-07-01,1102
2018-12-11,2018-12-11,2007-08-01,1084
2018-12-11,2018-12-11,2007-09-01,1102
2018-12-11,2018-12-11,2007-10-01,1275
2018-12-11,2018-12-11,2007-11-01,2208
2018-12-11,2018-12-11,2007-12-01,3253
2018-12-11,2018-12-11,2008-01-01,1045
2018-12-11,2018-12-11,2008-02-01,1078
2018-12-11,2018-12-11,2008-03-01,1185
2018-12-11,2018-12-11,2008-04-01,1082
2018-12-11,2018-12-11,2008-05-01,1132
2018-12-11,2018-12-11,2008-06-01,1045
2018-12-11,2018-12-11,2008-07-01,1100
2018-12-11,2018-12-11,2008-08-01,1067
2018-12-11,2018-12-11,2008-09-01,1063
2018-12-11,2018-12-11,2008-10-01,1221
2018-12-11,2018-12-11,2008-11-01,1964
2018-12-11,2018-12-11,2008-12-01,3125
2018-12-11,2018-12-11,2009-01-01,1034
2018-12-11,2018-12-11,2009-02-01,1012
2018-12-11,2018-12-11,2009-03-01,1099
2018-12-11,2018-12-11,2009-04-01,1089
2018-12-11,2018-12-11,2009-05-01,1068
2018-12-11,2018-12-11,2009-06-01,1025
2018-12-11,2018-12-11,2009-07-01,1062
2018-12-11,2018-12-11,2009-08-01,1011
2018-12-11,2018-12-11,2009-09-01,1067
2018-12-11,2018-12-11,2009-10-01,1200
2018-12-11,2018-12-11,2009-11-01,1850
2018-12-11,2018-12-11,2009-12-01,3013
2018-12-11,2018-12-11,2010-01-01,958
2018-12-11,2018-12-11,2010-02-01,1005
2018-12-11,2018-12-11,2010-03-01,1161
2018-12-11,2018-12-11,2010-04-01,1065
2018-12-11,2018-12-11,2010-05-01,1036
2018-12-11,2018-12-11,2010-06-01,1030
2018-12-11,2018-12-11,2010-07-01,1077
2018-12-11,2018-12-11,2010-08-01,1046
2018-12-11,2018-12-11,2010-09-01,1080
2018-12-11,2018-12-11,2010-10-01,1262
2018-12-11,2018-12-11,2010-11-01,2003
2018-12-11,2018-12-11,2010-12-01,3082
2018-12-11,2018-12-11,2011-01-01,972
2018-12-11,2018-12-11,2011-02-01,1030
2018-12-11,2018-12-11,2011-03-01,1201
2018-12-11,2018-12-11,2011-04-01,1192
2018-12-11,2018-12-11,2011-05-01,1073
2018-12-11,2018-12-11,2011-06-01,1069
2018-12-11,2018-12-11,2011-07-01,1089
2018-12-11,2018-12-11,2011-08-01,1074
2018-12-11,2018-12-11,2011-09-01,1151
2018-12-11,2018-12-11,2011-10-01,1252
2018-12-11,2018-12-11,2011-11-01,1964
2018-12-11,2018-12-11,2011-12-01,3052
2018-12-11,2018-12-11,2012-01-01,1072
2018-12-11,2018-12-11,2012-02-01,1192
2018-12-11,2018-12-11,2012-03-01,1270
2018-12-11,2018-12-11,2012-04-01,1156
2018-12-11,2018-12-11,2012-05-01,1186
2018-12-11,2018-12-11,2012-06-01,1130
2018-12-11,2018-12-11,2012-07-01,1123
2018-12-11,2018-12-11,2012-08-01,1126
2018-12-11,2018-12-11,2012-09-01,1158
2018-12-11,2018-12-11,2012-10-01,1275
2018-12-11,2018-12-11,2012-11-01,1945
2018-12-11,2018-12-11,2012-12-01,2987
2018-12-11,2018-12-11,2013-01-01,1028
2018-12-11,2018-12-11,2013-02-01,1078
2018-12-11,2018-12-11,2013-03-01,1250
2018-12-11,2018-12-11,2013-04-01,1117
2018-12-11,2018-12-11,2013-05-01,1126
2018-12-11,2018-12-11,2013-06-01,1066
2018-12-11,2018-12-11,2013-07-01,1116
2018-12-11,2018-12-11,2013-08-01,1155
2018-12-11,2018-12-11,2013-09-01,1172
2018-12-11,2018-12-11,2013-10-01,1350
2018-12-11,2018-12-11,2013-11-01,2154
2018-12-11,2018-12-11,2013-12-01,3295
2018-12-11,2018-12-11,2014-01-01,1019
2018-12-11,2018-12-11,2014-02-01,1090
2018-12-11,2018-12-11,2014-03-01,1220
2018-12-11,2018-12-11,2014-04-01,1202
2018-12-11,2018-12-11,2014-05-01,1175
2018-12-11,2018-12-11,2014-06-01,1086
2018-12-11,2018-12-11,2014-07-01,1184
2018-12-11,2018-12-11,2014-08-01,1187
2018-12-11,2018-12-11,2014-09-01,1252
2018-12-11,2018-12-11,2014-10-01,1356
2018-12-11,2018-12-11,2014-11-01,2137
2018-12-11,2018-12-11,2014-12-01,3501
2018-12-11,2018-12-11,2015-01-01,1126
2018-12-11,2018-12-11,2015-02-01,1155
2018-12-11,2018-12-11,2015-03-01,1318
2018-12-11,2018-12-11,2015-04-01,1219
2018-12-11,2018-12-11,2015-05-01,1230
2018-12-11,2018-12-11,2015-06-01,1151
2018-12-11,2018-12-11,2015-07-01,1187
2018-12-11,2018-12-11,2015-08-01,1193
2018-12-11,2018-12-11,2015-09-01,1278
2018-12-11,2018-12-11,2015-10-01,1427
2018-12-11,2018-12-11,2015-11-01,2162
2018-12-11,2018-12-11,2015-12-01,3563
2018-12-11,2018-12-11,2016-01-01,1181
2018-12-11,2018-12-11,2016-02-01,1211
2018-12-11,2018-12-11,2016-03-01,1362
2018-12-11,2018-12-11,2016-04-01,1240
2018-12-11,2018-12-11,2016-05-01,1234
2018-12-11,2018-12-11,2016-06-01,1180
2018-12-11,2018-12-11,2016-07-01,1232
2018-12-11,2018-12-11,2016-08-01,1234
2018-12-11,2018-12-11,2016-09-01,1313
2018-12-11,2018-12-11,2016-10-01,1427
2018-12-11,2018-12-11,2016-11-01,2236
2018-12-11,2018-12-11,2016-12-01,3441
2018-12-11,2018-12-11,2017-01-01,1219
2018-12-11,2018-12-11,2017-02-01,1221
2018-12-11,2018-12-11,2017-03-01,1403
2018-12-11,2018-12-11,2017-04-01,1325
2018-12-11,2018-12-11,2017-05-01,1292
2018-12-11,2018-12-11,2017-06-01,1221
2018-12-11,2018-12-11,2017-07-01,1235
2018-12-11,2018-12-11,2017-08-01,1285
2018-12-11,2018-12-11,2017-09-01,1391
2018-12-11,2018-12-11,2017-10-01,1485
2018-12-11,2018-12-11,2017-11-01,2299
2018-12-11,2018-12-11,2017-12-01,3333
2018-12-11,2018-12-11,2018-01-01,1147
2018-12-11,2018-12-11,2018-02-01,1180
2018-12-11,2018-12-11,2018-03-01,1651
2018-12-11,2018-12-11,2018-04-01,1286
2018-12-11,2018-12-11,2018-05-01,1361
2018-12-11,2018-12-11,2018-06-01,1183
2018-12-11,2018-12-11,2018-07-01,979
2018-12-11,2018-12-11,2018-08-01,1026
2018-12-11,2018-12-11,2018-09-01,1101
