realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,24056
2018-12-11,2018-12-11,1992-02-01,25041
2018-12-11,2018-12-11,1992-03-01,28018
2018-12-11,2018-12-11,1992-04-01,27982
2018-12-11,2018-12-11,1992-05-01,28924
2018-12-11,2018-12-11,1992-06-01,30591
2018-12-11,2018-12-11,1992-07-01,29934
2018-12-11,2018-12-11,1992-08-01,28052
2018-12-11,2018-12-11,1992-09-01,28949
2018-12-11,2018-12-11,1992-10-01,29429
2018-12-11,2018-12-11,1992-11-01,26171
2018-12-11,2018-12-11,1992-12-01,26654
2018-12-11,2018-12-11,1993-01-01,25801
2018-12-11,2018-12-11,1993-02-01,26165
2018-12-11,2018-12-11,1993-03-01,31277
2018-12-11,2018-12-11,1993-04-01,32586
2018-12-11,2018-12-11,1993-05-01,32786
2018-12-11,2018-12-11,1993-06-01,34497
2018-12-11,2018-12-11,1993-07-01,34162
2018-12-11,2018-12-11,1993-08-01,33517
2018-12-11,2018-12-11,1993-09-01,32501
2018-12-11,2018-12-11,1993-10-01,32534
2018-12-11,2018-12-11,1993-11-01,31679
2018-12-11,2018-12-11,1993-12-01,32017
2018-12-11,2018-12-11,1994-01-01,29860
2018-12-11,2018-12-11,1994-02-01,31959
2018-12-11,2018-12-11,1994-03-01,39742
2018-12-11,2018-12-11,1994-04-01,38191
2018-12-11,2018-12-11,1994-05-01,37869
2018-12-11,2018-12-11,1994-06-01,39511
2018-12-11,2018-12-11,1994-07-01,36388
2018-12-11,2018-12-11,1994-08-01,38533
2018-12-11,2018-12-11,1994-09-01,37385
2018-12-11,2018-12-11,1994-10-01,36654
2018-12-11,2018-12-11,1994-11-01,35170
2018-12-11,2018-12-11,1994-12-01,34399
2018-12-11,2018-12-11,1995-01-01,32778
2018-12-11,2018-12-11,1995-02-01,33412
2018-12-11,2018-12-11,1995-03-01,41374
2018-12-11,2018-12-11,1995-04-01,38132
2018-12-11,2018-12-11,1995-05-01,42309
2018-12-11,2018-12-11,1995-06-01,43957
2018-12-11,2018-12-11,1995-07-01,39540
2018-12-11,2018-12-11,1995-08-01,42592
2018-12-11,2018-12-11,1995-09-01,38978
2018-12-11,2018-12-11,1995-10-01,38834
2018-12-11,2018-12-11,1995-11-01,37202
2018-12-11,2018-12-11,1995-12-01,35534
2018-12-11,2018-12-11,1996-01-01,36390
2018-12-11,2018-12-11,1996-02-01,40087
2018-12-11,2018-12-11,1996-03-01,44798
2018-12-11,2018-12-11,1996-04-01,42745
2018-12-11,2018-12-11,1996-05-01,46525
2018-12-11,2018-12-11,1996-06-01,43649
2018-12-11,2018-12-11,1996-07-01,43833
2018-12-11,2018-12-11,1996-08-01,44020
2018-12-11,2018-12-11,1996-09-01,41252
2018-12-11,2018-12-11,1996-10-01,43454
2018-12-11,2018-12-11,1996-11-01,38484
2018-12-11,2018-12-11,1996-12-01,37103
2018-12-11,2018-12-11,1997-01-01,38950
2018-12-11,2018-12-11,1997-02-01,40036
2018-12-11,2018-12-11,1997-03-01,45967
2018-12-11,2018-12-11,1997-04-01,44106
2018-12-11,2018-12-11,1997-05-01,45673
2018-12-11,2018-12-11,1997-06-01,45196
2018-12-11,2018-12-11,1997-07-01,46093
2018-12-11,2018-12-11,1997-08-01,46085
2018-12-11,2018-12-11,1997-09-01,43626
2018-12-11,2018-12-11,1997-10-01,44122
2018-12-11,2018-12-11,1997-11-01,38649
2018-12-11,2018-12-11,1997-12-01,40469
2018-12-11,2018-12-11,1998-01-01,39690
2018-12-11,2018-12-11,1998-02-01,39936
2018-12-11,2018-12-11,1998-03-01,47249
2018-12-11,2018-12-11,1998-04-01,47084
2018-12-11,2018-12-11,1998-05-01,48972
2018-12-11,2018-12-11,1998-06-01,51217
2018-12-11,2018-12-11,1998-07-01,46220
2018-12-11,2018-12-11,1998-08-01,44965
2018-12-11,2018-12-11,1998-09-01,44560
2018-12-11,2018-12-11,1998-10-01,46742
2018-12-11,2018-12-11,1998-11-01,41949
2018-12-11,2018-12-11,1998-12-01,43975
2018-12-11,2018-12-11,1999-01-01,42042
2018-12-11,2018-12-11,1999-02-01,45230
2018-12-11,2018-12-11,1999-03-01,53840
2018-12-11,2018-12-11,1999-04-01,50680
2018-12-11,2018-12-11,1999-05-01,53277
2018-12-11,2018-12-11,1999-06-01,54565
2018-12-11,2018-12-11,1999-07-01,54023
2018-12-11,2018-12-11,1999-08-01,55555
2018-12-11,2018-12-11,1999-09-01,51570
2018-12-11,2018-12-11,1999-10-01,49379
2018-12-11,2018-12-11,1999-11-01,47695
2018-12-11,2018-12-11,1999-12-01,48311
2018-12-11,2018-12-11,2000-01-01,47032
2018-12-11,2018-12-11,2000-02-01,53501
