realtime_start,realtime_end,date,value
2018-12-11,2018-12-11,1992-01-01,972
2018-12-11,2018-12-11,1992-02-01,1100
2018-12-11,2018-12-11,1992-03-01,1214
2018-12-11,2018-12-11,1992-04-01,1267
2018-12-11,2018-12-11,1992-05-01,1293
2018-12-11,2018-12-11,1992-06-01,1334
2018-12-11,2018-12-11,1992-07-01,1340
2018-12-11,2018-12-11,1992-08-01,1377
2018-12-11,2018-12-11,1992-09-01,1206
2018-12-11,2018-12-11,1992-10-01,1120
2018-12-11,2018-12-11,1992-11-01,1207
2018-12-11,2018-12-11,1992-12-01,2153
2018-12-11,2018-12-11,1993-01-01,1032
2018-12-11,2018-12-11,1993-02-01,984
2018-12-11,2018-12-11,1993-03-01,1213
2018-12-11,2018-12-11,1993-04-01,1367
2018-12-11,2018-12-11,1993-05-01,1387
2018-12-11,2018-12-11,1993-06-01,1457
2018-12-11,2018-12-11,1993-07-01,1457
2018-12-11,2018-12-11,1993-08-01,1531
2018-12-11,2018-12-11,1993-09-01,1313
2018-12-11,2018-12-11,1993-10-01,1199
2018-12-11,2018-12-11,1993-11-01,1377
2018-12-11,2018-12-11,1993-12-01,2474
2018-12-11,2018-12-11,1994-01-01,1168
2018-12-11,2018-12-11,1994-02-01,1193
2018-12-11,2018-12-11,1994-03-01,1488
2018-12-11,2018-12-11,1994-04-01,1551
2018-12-11,2018-12-11,1994-05-01,1551
2018-12-11,2018-12-11,1994-06-01,1677
2018-12-11,2018-12-11,1994-07-01,1584
2018-12-11,2018-12-11,1994-08-01,1737
2018-12-11,2018-12-11,1994-09-01,1470
2018-12-11,2018-12-11,1994-10-01,1324
2018-12-11,2018-12-11,1994-11-01,1471
2018-12-11,2018-12-11,1994-12-01,2611
2018-12-11,2018-12-11,1995-01-01,1224
2018-12-11,2018-12-11,1995-02-01,1248
2018-12-11,2018-12-11,1995-03-01,1599
2018-12-11,2018-12-11,1995-04-01,1606
2018-12-11,2018-12-11,1995-05-01,1645
2018-12-11,2018-12-11,1995-06-01,1750
2018-12-11,2018-12-11,1995-07-01,1705
2018-12-11,2018-12-11,1995-08-01,1846
2018-12-11,2018-12-11,1995-09-01,1569
2018-12-11,2018-12-11,1995-10-01,1398
2018-12-11,2018-12-11,1995-11-01,1548
2018-12-11,2018-12-11,1995-12-01,2731
2018-12-11,2018-12-11,1996-01-01,1327
2018-12-11,2018-12-11,1996-02-01,1309
2018-12-11,2018-12-11,1996-03-01,1649
2018-12-11,2018-12-11,1996-04-01,1702
2018-12-11,2018-12-11,1996-05-01,1773
2018-12-11,2018-12-11,1996-06-01,1895
2018-12-11,2018-12-11,1996-07-01,1833
2018-12-11,2018-12-11,1996-08-01,1992
2018-12-11,2018-12-11,1996-09-01,1594
2018-12-11,2018-12-11,1996-10-01,1453
2018-12-11,2018-12-11,1996-11-01,1608
2018-12-11,2018-12-11,1996-12-01,2675
2018-12-11,2018-12-11,1997-01-01,1337
2018-12-11,2018-12-11,1997-02-01,1331
2018-12-11,2018-12-11,1997-03-01,1609
2018-12-11,2018-12-11,1997-04-01,1726
2018-12-11,2018-12-11,1997-05-01,1788
2018-12-11,2018-12-11,1997-06-01,1970
2018-12-11,2018-12-11,1997-07-01,1838
2018-12-11,2018-12-11,1997-08-01,1955
2018-12-11,2018-12-11,1997-09-01,1595
2018-12-11,2018-12-11,1997-10-01,1521
2018-12-11,2018-12-11,1997-11-01,1651
2018-12-11,2018-12-11,1997-12-01,2846
2018-12-11,2018-12-11,1998-01-01,1381
2018-12-11,2018-12-11,1998-02-01,1407
2018-12-11,2018-12-11,1998-03-01,1754
2018-12-11,2018-12-11,1998-04-01,1820
2018-12-11,2018-12-11,1998-05-01,1938
2018-12-11,2018-12-11,1998-06-01,2120
2018-12-11,2018-12-11,1998-07-01,1975
2018-12-11,2018-12-11,1998-08-01,2038
2018-12-11,2018-12-11,1998-09-01,1701
2018-12-11,2018-12-11,1998-10-01,1607
